product_weight_g,product_length_cm,product_height_cm,product_width_cm,freight_value
500.0,25.0,25.0,21.0,19.32
250.0,20.0,20.0,20.0,22.06
450.0,24.0,47.0,34.0,10.99
5500.0,90.0,15.0,25.0,21.33
350.0,17.0,4.0,12.0,37.12
500.0,25.0,9.0,18.0,11.85
100.0,19.0,3.0,11.0,14.52
1100.0,26.0,10.0,20.0,17.26
1350.0,16.0,16.0,16.0,57.45
304.0,27.0,17.0,27.0,18.59
200.0,16.0,9.0,11.0,12.83
850.0,16.0,10.0,16.0,23.43
3800.0,44.0,23.0,43.0,16.49
3450.0,27.0,29.0,27.0,25.19
200.0,16.0,11.0,11.0,17.63
2900.0,20.0,20.0,20.0,13.28
1400.0,35.0,35.0,40.0,10.96
6050.0,40.0,30.0,30.0,23.31
17000.0,63.0,58.0,24.0,49.05
1600.0,30.0,30.0,16.0,29.32
433.0,21.0,15.0,11.0,16.11
19700.0,42.0,100.0,42.0,57.99
1650.0,29.0,14.0,19.0,23.01
500.0,29.0,12.0,23.0,14.1
15700.0,58.0,28.0,58.0,74.82
1875.0,23.0,23.0,23.0,17.26
15300.0,75.0,22.0,44.0,67.19
4150.0,20.0,20.0,20.0,14.2
1000.0,20.0,30.0,20.0,18.55
1500.0,50.0,15.0,30.0,22.48
1250.0,22.0,12.0,16.0,15.76
411.0,21.0,19.0,19.0,18.0
600.0,25.0,11.0,14.0,15.19
600.0,24.0,15.0,18.0,14.05
300.0,16.0,30.0,20.0,11.85
441.0,24.0,20.0,17.0,15.3
5200.0,50.0,10.0,50.0,13.53
1400.0,22.0,12.0,33.0,13.61
2000.0,90.0,8.0,15.0,19.88
292.0,17.0,8.0,12.0,16.09
1300.0,60.0,15.0,15.0,23.5
8800.0,32.0,5.0,40.0,43.69
21700.0,40.0,50.0,50.0,43.69
3150.0,60.0,9.0,23.0,19.91
250.0,16.0,17.0,17.0,19.91
150.0,16.0,6.0,11.0,14.3
1950.0,37.0,8.0,35.0,18.3
3000.0,16.0,21.0,19.0,16.87
1200.0,20.0,16.0,20.0,11.41
300.0,16.0,6.0,12.0,15.1
1900.0,28.0,36.0,28.0,15.98
200.0,30.0,5.0,16.0,7.78
1300.0,47.0,10.0,31.0,17.92
233.0,17.0,14.0,16.0,12.02
500.0,16.0,21.0,18.0,9.02
4325.0,49.0,23.0,38.0,27.06
250.0,16.0,2.0,20.0,15.1
1600.0,35.0,42.0,21.0,17.23
767.0,30.0,29.0,25.0,17.74
700.0,42.0,25.0,15.0,17.74
300.0,20.0,7.0,15.0,22.84
2950.0,69.0,11.0,11.0,43.39
1400.0,32.0,36.0,20.0,9.06
342.0,18.0,12.0,16.0,12.89
900.0,16.0,34.0,34.0,39.93
1200.0,16.0,34.0,34.0,3.99
180.0,16.0,30.0,30.0,4.26
500.0,16.0,34.0,34.0,3.99
500.0,16.0,30.0,30.0,13.31
1050.0,28.0,26.0,28.0,23.78
8200.0,50.0,28.0,35.0,21.81
400.0,22.0,18.0,12.0,15.45
5850.0,60.0,20.0,29.0,23.13
150.0,16.0,16.0,16.0,15.23
400.0,40.0,7.0,20.0,16.15
200.0,16.0,6.0,11.0,19.07
50.0,19.0,4.0,20.0,14.1
550.0,20.0,12.0,12.0,20.65
50.0,16.0,5.0,11.0,14.52
400.0,21.0,21.0,18.0,14.52
8775.0,43.0,14.0,20.0,11.88
50.0,19.0,11.0,23.0,25.63
50.0,19.0,11.0,23.0,25.63
150.0,20.0,17.0,21.0,18.23
1333.0,24.0,23.0,25.0,15.79
150.0,27.0,13.0,17.0,18.5
4550.0,30.0,10.0,17.0,16.97
2000.0,16.0,20.0,11.0,15.11
500.0,20.0,20.0,20.0,42.84
600.0,16.0,16.0,16.0,22.93
3000.0,40.0,29.0,29.0,13.08
300.0,20.0,5.0,20.0,32.49
17550.0,73.0,20.0,47.0,78.06
600.0,50.0,10.0,60.0,23.35
625.0,23.0,18.0,20.0,18.77
9200.0,20.0,8.0,15.0,19.48
6050.0,16.0,61.0,41.0,14.97
900.0,40.0,40.0,30.0,17.6
175.0,22.0,7.0,14.0,18.23
500.0,20.0,12.0,12.0,10.24
10300.0,51.0,21.0,51.0,17.91
483.0,16.0,11.0,16.0,8.46
6050.0,40.0,32.0,40.0,16.19
2050.0,50.0,10.0,40.0,13.08
8550.0,40.0,32.0,40.0,17.96
950.0,35.0,12.0,25.0,16.77
518.0,29.0,19.0,23.0,19.53
850.0,16.0,10.0,16.0,19.53
800.0,16.0,23.0,16.0,12.16
1000.0,32.0,3.0,23.0,12.99
183.0,20.0,15.0,17.0,8.27
1025.0,40.0,17.0,36.0,15.77
1400.0,16.0,20.0,15.0,11.65
2800.0,30.0,30.0,30.0,26.27
250.0,40.0,4.0,30.0,11.85
300.0,80.0,10.0,60.0,4.52
1100.0,45.0,25.0,35.0,30.16
579.0,21.0,13.0,17.0,19.6
281.0,17.0,9.0,13.0,15.25
1100.0,20.0,14.0,16.0,13.08
7050.0,75.0,15.0,50.0,17.51
300.0,29.0,7.0,16.0,15.79
250.0,27.0,13.0,17.0,9.27
1675.0,25.0,20.0,23.0,19.89
1450.0,50.0,2.0,37.0,15.1
1000.0,31.0,11.0,26.0,11.9
100.0,16.0,3.0,11.0,15.1
1500.0,45.0,15.0,35.0,15.38
425.0,21.0,4.0,16.0,37.59
700.0,25.0,36.0,12.0,12.43
200.0,16.0,11.0,11.0,12.99
3100.0,28.0,20.0,40.0,24.3
250.0,26.0,18.0,20.0,7.78
3450.0,41.0,15.0,25.0,25.95
1675.0,63.0,9.0,63.0,14.25
12700.0,46.0,40.0,46.0,63.25
2600.0,62.0,42.0,13.0,28.16
2550.0,58.0,43.0,25.0,11.73
150.0,17.0,17.0,17.0,15.1
1100.0,21.0,11.0,17.0,16.77
900.0,30.0,4.0,40.0,13.48
500.0,16.0,11.0,12.0,26.09
650.0,16.0,10.0,16.0,19.34
9325.0,50.0,18.0,28.0,14.53
700.0,60.0,11.0,20.0,16.17
200.0,19.0,4.0,11.0,15.23
350.0,17.0,4.0,12.0,15.79
300.0,22.0,4.0,11.0,14.52
800.0,16.0,10.0,16.0,15.43
2900.0,43.0,14.0,17.0,17.17
250.0,20.0,16.0,12.0,19.8
401.0,17.0,9.0,11.0,15.58
1075.0,24.0,29.0,22.0,9.61
350.0,26.0,6.0,15.0,12.48
1100.0,46.0,14.0,40.0,12.23
1100.0,24.0,24.0,24.0,13.07
16200.0,26.0,57.0,39.0,19.01
1050.0,16.0,20.0,16.0,23.64
333.0,18.0,11.0,12.0,17.58
500.0,16.0,22.0,11.0,15.1
6800.0,45.0,20.0,45.0,11.15
900.0,30.0,33.0,30.0,15.0
200.0,16.0,16.0,16.0,14.1
700.0,27.0,9.0,18.0,19.32
100.0,16.0,5.0,14.0,24.29
1000.0,30.0,5.0,30.0,18.96
350.0,16.0,12.0,12.0,27.52
250.0,23.0,12.0,17.0,22.21
756.0,34.0,17.0,18.0,16.95
1225.0,43.0,38.0,37.0,23.21
1600.0,26.0,26.0,26.0,17.6
1000.0,20.0,16.0,14.0,23.32
300.0,17.0,10.0,15.0,18.3
575.0,16.0,22.0,16.0,51.51
250.0,16.0,2.0,11.0,18.36
4600.0,46.0,27.0,28.0,76.08
4050.0,11.0,18.0,10.0,23.53
150.0,16.0,2.0,11.0,14.52
200.0,18.0,8.0,13.0,18.23
400.0,26.0,16.0,21.0,14.1
250.0,28.0,4.0,16.0,16.05
350.0,16.0,2.0,11.0,15.1
1500.0,30.0,20.0,17.0,28.88
75.0,20.0,2.0,15.0,18.27
1800.0,41.0,9.0,34.0,15.01
450.0,20.0,20.0,20.0,7.78
300.0,39.0,9.0,20.0,11.85
150.0,16.0,2.0,11.0,2.15
250.0,19.0,3.0,14.0,21.54
850.0,30.0,20.0,30.0,14.79
217.0,18.0,5.0,14.0,16.7
250.0,20.0,5.0,16.0,18.15
100.0,16.0,2.0,11.0,21.68
3000.0,50.0,35.0,15.0,13.08
150.0,16.0,20.0,16.0,8.64
900.0,53.0,8.0,11.0,16.53
25150.0,63.0,63.0,38.0,118.47
200.0,20.0,10.0,15.0,13.89
2200.0,22.0,4.0,22.0,23.36
19550.0,43.0,79.0,41.0,87.07
2200.0,55.0,15.0,35.0,15.98
550.0,20.0,10.0,15.0,15.1
1100.0,19.0,22.0,19.0,17.67
900.0,20.0,12.0,12.0,19.46
50.0,19.0,5.0,11.0,15.23
4800.0,27.0,20.0,35.0,16.54
200.0,22.0,22.0,22.0,7.4
450.0,36.0,6.0,26.0,8.88
2275.0,31.0,16.0,31.0,69.71
1175.0,31.0,22.0,19.0,16.11
1150.0,30.0,30.0,30.0,13.37
300.0,30.0,30.0,20.0,16.54
200.0,22.0,11.0,13.0,18.23
600.0,18.0,18.0,18.0,7.78
900.0,22.0,5.0,50.0,19.12
4850.0,30.0,17.0,19.0,22.15
3900.0,45.0,15.0,35.0,13.6
200.0,21.0,9.0,17.0,7.78
1150.0,35.0,15.0,15.0,15.59
450.0,30.0,20.0,16.0,16.32
1100.0,29.0,12.0,32.0,16.45
83.0,17.0,8.0,13.0,12.79
550.0,23.0,15.0,23.0,23.19
1106.0,19.0,22.0,18.0,13.37
1250.0,23.0,26.0,20.0,19.51
250.0,16.0,10.0,11.0,15.23
350.0,16.0,22.0,24.0,11.85
1675.0,35.0,16.0,35.0,17.74
300.0,40.0,25.0,25.0,12.61
1150.0,30.0,12.0,16.0,11.73
200.0,25.0,10.0,15.0,7.39
598.0,38.0,30.0,38.0,8.29
400.0,27.0,13.0,17.0,35.92
1050.0,91.0,13.0,11.0,16.87
850.0,24.0,13.0,18.0,45.11
167.0,16.0,4.0,11.0,12.85
100.0,16.0,16.0,16.0,18.31
500.0,16.0,12.0,22.0,9.79
2850.0,62.0,11.0,40.0,28.35
675.0,25.0,14.0,25.0,9.44
2900.0,25.0,25.0,25.0,23.06
200.0,16.0,7.0,11.0,7.78
200.0,27.0,14.0,13.0,14.1
550.0,33.0,28.0,41.0,9.1
4150.0,30.0,35.0,30.0,16.35
700.0,16.0,21.0,28.0,15.29
500.0,20.0,10.0,17.0,15.59
1000.0,18.0,9.0,16.0,9.49
750.0,16.0,24.0,24.0,7.39
1800.0,80.0,10.0,15.0,16.74
8750.0,16.0,50.0,40.0,34.24
2200.0,45.0,15.0,25.0,15.28
9650.0,86.0,8.0,40.0,21.58
7550.0,35.0,35.0,35.0,22.77
200.0,25.0,10.0,16.0,10.96
1500.0,22.0,12.0,33.0,13.61
500.0,25.0,20.0,20.0,15.52
867.0,20.0,7.0,14.0,22.7
1525.0,68.0,9.0,35.0,14.14
10800.0,44.0,21.0,38.0,16.3
2100.0,42.0,25.0,15.0,18.81
600.0,26.0,22.0,14.0,17.92
11500.0,60.0,60.0,19.0,50.78
5967.0,48.0,37.0,53.0,32.17
450.0,16.0,19.0,15.0,18.09
650.0,19.0,19.0,19.0,9.55
804.0,30.0,21.0,21.0,16.11
1650.0,28.0,25.0,11.0,29.63
1200.0,28.0,13.0,21.0,44.97
2750.0,26.0,42.0,38.0,22.45
340.0,23.0,8.0,15.0,18.77
700.0,23.0,8.0,15.0,18.77
300.0,20.0,15.0,20.0,7.39
225.0,16.0,23.0,19.0,12.98
600.0,16.0,30.0,30.0,12.8
450.0,30.0,30.0,30.0,18.51
1250.0,30.0,8.0,30.0,11.86
1300.0,30.0,30.0,35.0,38.81
100.0,20.0,20.0,20.0,19.95
125.0,21.0,13.0,18.0,8.27
528.0,17.0,19.0,14.0,11.85
5600.0,30.0,62.0,45.0,18.0
800.0,16.0,10.0,16.0,16.14
500.0,25.0,10.0,25.0,8.72
250.0,16.0,10.0,11.0,7.43
600.0,30.0,6.0,20.0,19.4
5700.0,34.0,29.0,34.0,43.57
1021.0,35.0,5.0,32.0,15.97
15000.0,50.0,30.0,50.0,111.44
150.0,16.0,14.0,11.0,13.6
350.0,16.0,27.0,11.0,18.8
500.0,36.0,18.0,27.0,12.38
6350.0,50.0,30.0,30.0,35.47
150.0,17.0,4.0,12.0,22.13
550.0,35.0,14.0,23.0,19.46
200.0,20.0,2.0,15.0,15.23
2900.0,35.0,30.0,35.0,30.57
575.0,23.0,26.0,14.0,18.72
600.0,30.0,30.0,30.0,8.93
1758.0,35.0,25.0,25.0,21.31
200.0,38.0,8.0,38.0,18.36
1400.0,25.0,30.0,25.0,15.78
300.0,40.0,10.0,25.0,15.1
1200.0,42.0,12.0,43.0,20.85
1800.0,45.0,15.0,35.0,18.2
350.0,16.0,16.0,16.0,51.02
7300.0,40.0,40.0,30.0,14.08
700.0,32.0,4.0,23.0,14.1
1100.0,27.0,9.0,14.0,11.15
175.0,21.0,11.0,13.0,16.05
3050.0,52.0,32.0,19.0,22.66
9500.0,33.0,30.0,44.0,20.11
1300.0,30.0,10.0,18.0,20.38
350.0,29.0,5.0,16.0,18.28
4900.0,18.0,35.0,11.0,44.69
1150.0,40.0,11.0,15.0,19.81
850.0,22.0,7.0,17.0,21.22
250.0,22.0,14.0,11.0,25.67
293.0,17.0,15.0,14.0,17.94
6794.0,38.0,24.0,50.0,39.65
450.0,22.0,15.0,15.0,28.84
8900.0,32.0,49.0,34.0,20.26
5550.0,50.0,11.0,60.0,17.99
7900.0,45.0,20.0,45.0,57.93
600.0,18.0,11.0,11.0,16.15
450.0,22.0,12.0,22.0,9.79
100.0,16.0,6.0,11.0,20.1
400.0,45.0,15.0,35.0,11.99
6950.0,31.0,32.0,43.0,24.68
1250.0,25.0,17.0,35.0,12.79
14600.0,58.0,28.0,58.0,67.05
300.0,16.0,7.0,20.0,7.78
400.0,21.0,6.0,14.0,14.68
1000.0,30.0,15.0,32.0,17.93
400.0,16.0,11.0,12.0,37.39
800.0,28.0,8.0,18.0,14.87
750.0,25.0,25.0,25.0,36.53
200.0,22.0,6.0,16.0,18.25
300.0,20.0,20.0,20.0,8.47
500.0,18.0,9.0,16.0,15.45
300.0,18.0,8.0,14.0,15.37
250.0,18.0,9.0,14.0,12.85
500.0,50.0,5.0,30.0,9.21
16550.0,22.0,65.0,40.0,28.22
3650.0,56.0,6.0,76.0,33.5
150.0,22.0,2.0,19.0,18.23
700.0,24.0,14.0,18.0,23.87
750.0,60.0,11.0,20.0,11.8
200.0,16.0,9.0,11.0,15.1
1100.0,42.0,25.0,15.0,20.86
1300.0,51.0,9.0,20.0,12.01
475.0,36.0,18.0,21.0,17.81
2300.0,33.0,44.0,19.0,32.99
100.0,18.0,3.0,12.0,14.11
100.0,16.0,2.0,11.0,8.11
150.0,20.0,20.0,20.0,7.29
117.0,16.0,14.0,16.0,21.88
320.0,30.0,6.0,12.0,14.55
275.0,18.0,4.0,12.0,7.78
1950.0,30.0,35.0,35.0,27.0
1800.0,30.0,20.0,70.0,18.91
2100.0,33.0,25.0,28.0,39.66
2100.0,41.0,32.0,15.0,38.6
8150.0,35.0,60.0,40.0,37.27
900.0,18.0,16.0,15.0,18.23
12250.0,63.0,58.0,24.0,31.77
300.0,20.0,20.0,20.0,17.43
500.0,30.0,2.0,20.0,8.3
400.0,45.0,22.0,43.0,9.11
275.0,16.0,5.0,20.0,37.04
2200.0,35.0,35.0,25.0,19.51
8950.0,38.0,23.0,38.0,14.8
405.0,18.0,13.0,13.0,13.49
1400.0,45.0,30.0,20.0,17.23
750.0,19.0,6.0,26.0,8.88
1400.0,16.0,16.0,53.0,27.32
4100.0,17.0,105.0,12.0,39.98
150.0,16.0,7.0,11.0,8.61
400.0,18.0,18.0,17.0,22.27
275.0,16.0,11.0,11.0,14.63
2400.0,42.0,15.0,27.0,58.9
550.0,66.0,12.0,12.0,50.98
7400.0,60.0,18.0,40.0,13.15
200.0,20.0,2.0,15.0,8.64
5350.0,36.0,22.0,36.0,41.47
200.0,21.0,5.0,15.0,15.31
1075.0,21.0,9.0,9.0,22.87
1400.0,30.0,30.0,25.0,8.65
1250.0,48.0,10.0,12.0,18.25
100.0,18.0,6.0,11.0,14.1
200.0,16.0,5.0,20.0,14.1
3100.0,30.0,20.0,30.0,23.22
700.0,20.0,6.0,16.0,20.4
30000.0,50.0,50.0,30.0,45.47
150.0,16.0,16.0,16.0,12.48
525.0,17.0,17.0,17.0,8.29
1700.0,20.0,24.0,30.0,14.68
662.0,21.0,26.0,18.0,15.24
100.0,37.0,6.0,12.0,8.72
600.0,16.0,25.0,11.0,16.11
2238.0,24.0,45.0,27.0,20.75
200.0,16.0,16.0,16.0,14.11
200.0,16.0,2.0,20.0,11.85
400.0,18.0,9.0,28.0,26.01
1300.0,31.0,33.0,31.0,12.62
600.0,16.0,21.0,18.0,9.02
200.0,36.0,15.0,21.0,13.5
250.0,16.0,2.0,11.0,7.78
150.0,20.0,3.0,12.0,18.23
500.0,16.0,21.0,20.0,14.83
2483.0,53.0,36.0,34.0,40.82
100.0,19.0,3.0,11.0,16.05
250.0,24.0,6.0,23.0,14.65
175.0,19.0,12.0,17.0,16.93
1600.0,27.0,10.0,19.0,18.08
600.0,68.0,8.0,13.0,9.74
4300.0,16.0,2.0,16.0,98.02
2150.0,34.0,9.0,33.0,20.98
500.0,27.0,9.0,27.0,14.67
400.0,37.0,4.0,16.0,12.79
441.0,24.0,18.0,20.0,17.76
200.0,16.0,2.0,20.0,15.29
1750.0,20.0,8.0,14.0,11.73
200.0,16.0,7.0,23.0,34.15
300.0,18.0,14.0,11.0,14.31
300.0,80.0,50.0,50.0,87.73
273.0,21.0,16.0,15.0,8.0
600.0,30.0,10.0,30.0,9.45
700.0,30.0,10.0,30.0,18.89
450.0,20.0,15.0,20.0,19.38
175.0,25.0,12.0,20.0,17.54
200.0,16.0,17.0,11.0,23.31
600.0,20.0,5.0,15.0,45.28
6200.0,40.0,11.0,15.0,22.19
1300.0,42.0,42.0,14.0,38.88
550.0,16.0,20.0,16.0,18.33
150.0,20.0,3.0,18.0,7.98
417.0,19.0,11.0,18.0,16.79
600.0,33.0,5.0,16.0,16.96
2300.0,31.0,34.0,21.0,42.73
450.0,25.0,15.0,28.0,15.24
1350.0,30.0,30.0,30.0,18.71
150.0,20.0,10.0,15.0,17.78
2475.0,56.0,7.0,52.0,27.77
1150.0,30.0,5.0,20.0,17.88
1200.0,25.0,23.0,25.0,16.13
1600.0,40.0,11.0,35.0,9.4
50.0,20.0,15.0,15.0,7.39
183.0,17.0,13.0,12.0,14.52
200.0,18.0,9.0,16.0,26.44
50.0,20.0,8.0,14.0,21.52
250.0,17.0,12.0,12.0,7.41
1145.0,19.0,18.0,15.0,17.6
2000.0,28.0,38.0,11.0,38.54
3300.0,28.0,38.0,11.0,38.54
2000.0,28.0,38.0,11.0,38.54
550.0,27.0,10.0,15.0,16.11
215.0,21.0,7.0,15.0,15.1
240.0,21.0,7.0,15.0,15.1
7850.0,28.0,62.0,28.0,14.36
5300.0,30.0,35.0,30.0,13.52
5300.0,30.0,35.0,30.0,6.76
600.0,70.0,10.0,50.0,16.3
1300.0,29.0,23.0,23.0,16.11
75.0,11.0,23.0,11.0,12.79
400.0,21.0,5.0,15.0,20.8
750.0,25.0,5.0,17.0,12.76
100.0,16.0,7.0,11.0,16.79
150.0,17.0,7.0,13.0,7.39
21000.0,63.0,21.0,37.0,78.37
500.0,20.0,10.0,15.0,7.78
805.0,28.0,37.0,25.0,20.36
1400.0,31.0,21.0,31.0,27.98
590.0,34.0,18.0,24.0,15.3
1150.0,60.0,15.0,15.0,20.19
350.0,20.0,10.0,20.0,15.17
1200.0,36.0,15.0,22.0,18.23
3000.0,50.0,17.0,38.0,12.95
800.0,47.0,10.0,32.0,14.08
6900.0,70.0,15.0,33.0,44.41
11600.0,45.0,35.0,45.0,53.98
7600.0,30.0,50.0,40.0,77.98
1050.0,18.0,22.0,20.0,17.26
100.0,24.0,7.0,14.0,14.52
50.0,17.0,6.0,13.0,7.44
300.0,17.0,4.0,12.0,15.3
200.0,19.0,4.0,11.0,11.85
300.0,16.0,16.0,16.0,17.63
4853.0,28.0,29.0,26.0,12.61
1600.0,45.0,3.0,37.0,22.19
300.0,24.0,7.0,14.0,8.56
3000.0,69.0,11.0,11.0,26.51
400.0,16.0,35.0,25.0,9.42
4600.0,60.0,20.0,29.0,17.94
1800.0,18.0,65.0,35.0,15.23
550.0,20.0,50.0,20.0,20.12
650.0,16.0,10.0,16.0,12.83
1133.0,16.0,16.0,11.0,22.06
500.0,20.0,8.0,14.0,22.59
450.0,16.0,12.0,12.0,15.23
100.0,16.0,5.0,11.0,15.79
1700.0,24.0,18.0,18.0,13.78
18500.0,22.0,26.0,15.0,45.45
250.0,39.0,2.0,30.0,10.96
550.0,16.0,2.0,11.0,25.63
7175.0,50.0,22.0,40.0,14.83
426.0,18.0,14.0,14.0,16.13
1500.0,39.0,12.0,25.0,13.69
12050.0,57.0,54.0,22.0,74.78
175.0,19.0,7.0,11.0,20.58
300.0,21.0,8.0,17.0,12.12
700.0,50.0,11.0,40.0,16.11
100.0,16.0,6.0,11.0,18.57
200.0,18.0,9.0,16.0,18.13
750.0,16.0,12.0,15.0,12.83
100.0,32.0,2.0,24.0,22.06
100.0,20.0,20.0,20.0,15.1
700.0,20.0,15.0,20.0,14.93
350.0,27.0,9.0,27.0,15.79
200.0,20.0,10.0,11.0,11.85
2275.0,18.0,14.0,16.0,14.67
275.0,22.0,3.0,16.0,7.39
500.0,25.0,13.0,13.0,14.24
200.0,25.0,10.0,12.0,18.23
200.0,22.0,5.0,15.0,8.53
1550.0,45.0,10.0,35.0,27.11
900.0,25.0,50.0,30.0,53.46
200.0,37.0,3.0,11.0,7.39
3150.0,30.0,27.0,26.0,19.56
8656.0,57.0,64.0,40.0,35.93
1600.0,22.0,8.0,16.0,15.83
167.0,21.0,13.0,12.0,12.63
436.0,20.0,13.0,15.0,13.33
8100.0,25.0,25.0,25.0,21.5
2650.0,45.0,25.0,18.0,19.89
12900.0,25.0,25.0,25.0,46.93
550.0,90.0,15.0,15.0,71.13
18050.0,70.0,40.0,37.0,39.44
350.0,26.0,17.0,20.0,7.39
425.0,20.0,20.0,20.0,16.14
300.0,17.0,4.0,11.0,15.23
150.0,20.0,13.0,20.0,10.09
14033.0,101.0,8.0,57.0,38.73
1800.0,33.0,14.0,11.0,20.07
350.0,17.0,4.0,12.0,7.78
200.0,24.0,4.0,18.0,27.91
6200.0,76.0,28.0,18.0,19.04
1900.0,35.0,45.0,15.0,13.1
200.0,20.0,20.0,20.0,14.52
2600.0,20.0,40.0,40.0,21.3
3000.0,69.0,11.0,11.0,22.58
250.0,29.0,8.0,37.0,18.23
1100.0,50.0,20.0,20.0,20.15
1800.0,44.0,16.0,34.0,16.56
150.0,16.0,2.0,11.0,7.71
400.0,30.0,16.0,16.0,15.24
7300.0,45.0,28.0,45.0,17.93
100.0,24.0,2.0,17.0,11.88
5200.0,48.0,27.0,18.0,13.63
300.0,17.0,11.0,13.0,27.83
340.0,19.0,22.0,17.0,18.72
1860.0,45.0,20.0,43.0,13.37
10400.0,40.0,30.0,40.0,29.28
14600.0,50.0,30.0,40.0,21.44
767.0,29.0,11.0,23.0,22.14
400.0,16.0,16.0,11.0,12.46
783.0,19.0,19.0,19.0,16.05
1200.0,18.0,28.0,18.0,18.91
12000.0,45.0,35.0,45.0,34.68
800.0,24.0,17.0,17.0,16.11
550.0,16.0,10.0,16.0,19.46
5000.0,68.0,13.0,50.0,18.34
305.0,68.0,10.0,19.0,7.49
700.0,20.0,20.0,20.0,19.4
2550.0,18.0,16.0,17.0,21.22
350.0,34.0,4.0,15.0,8.41
1300.0,35.0,15.0,25.0,16.43
300.0,16.0,9.0,11.0,20.14
200.0,16.0,5.0,11.0,8.06
150.0,20.0,8.0,15.0,18.23
350.0,43.0,16.0,27.0,13.95
1550.0,40.0,20.0,20.0,23.75
200.0,16.0,2.0,11.0,7.92
100.0,18.0,8.0,13.0,7.87
4300.0,33.0,16.0,33.0,16.16
1050.0,18.0,21.0,27.0,14.75
123.0,18.0,9.0,15.0,16.12
800.0,20.0,15.0,15.0,19.32
1500.0,40.0,30.0,30.0,15.56
550.0,24.0,8.0,15.0,10.16
1050.0,70.0,10.0,40.0,15.2
625.0,28.0,7.0,19.0,8.44
1350.0,30.0,20.0,30.0,30.14
300.0,16.0,2.0,11.0,7.39
1050.0,26.0,26.0,26.0,9.34
800.0,40.0,30.0,30.0,14.13
5446.0,21.0,14.0,18.0,8.88
750.0,38.0,12.0,25.0,24.52
500.0,16.0,10.0,16.0,16.11
6300.0,60.0,25.0,25.0,16.6
100.0,20.0,5.0,12.0,28.17
950.0,16.0,10.0,16.0,12.96
1700.0,57.0,22.0,47.0,13.44
4825.0,61.0,34.0,36.0,11.6
5667.0,63.0,13.0,63.0,17.31
300.0,40.0,5.0,40.0,7.39
450.0,21.0,14.0,14.0,18.86
200.0,16.0,2.0,13.0,35.41
400.0,18.0,30.0,12.0,8.72
350.0,20.0,10.0,20.0,14.13
2800.0,40.0,7.0,30.0,13.02
2975.0,28.0,9.0,14.0,19.5
5400.0,44.0,44.0,24.0,22.23
1400.0,29.0,26.0,25.0,14.55
2150.0,33.0,20.0,17.0,22.98
552.0,22.0,16.0,18.0,19.21
200.0,23.0,5.0,14.0,15.1
800.0,25.0,23.0,25.0,25.46
850.0,24.0,20.0,24.0,14.73
200.0,45.0,15.0,35.0,11.85
1900.0,30.0,13.0,30.0,11.39
420.0,22.0,16.0,16.0,13.35
750.0,16.0,15.0,11.0,15.11
750.0,20.0,14.0,13.0,18.33
450.0,17.0,2.0,17.0,10.84
783.0,21.0,13.0,28.0,16.88
30000.0,76.0,51.0,51.0,116.7
8950.0,60.0,32.0,28.0,63.8
400.0,50.0,3.0,25.0,15.1
325.0,21.0,12.0,15.0,15.87
5875.0,25.0,15.0,20.0,51.82
400.0,16.0,12.0,17.0,11.74
8300.0,102.0,14.0,34.0,29.43
11900.0,65.0,35.0,35.0,34.32
1950.0,30.0,25.0,30.0,22.82
3175.0,62.0,20.0,42.0,17.6
1100.0,16.0,15.0,13.0,15.59
117.0,16.0,16.0,11.0,18.29
833.0,29.0,2.0,28.0,16.11
800.0,16.0,8.0,24.0,25.38
700.0,19.0,9.0,15.0,16.05
250.0,17.0,10.0,13.0,28.07
150.0,31.0,12.0,21.0,18.24
300.0,25.0,10.0,20.0,12.51
1450.0,25.0,15.0,25.0,23.43
1683.0,25.0,22.0,22.0,26.84
400.0,19.0,9.0,12.0,26.04
6650.0,23.0,19.0,29.0,63.06
6500.0,20.0,20.0,20.0,19.06
1350.0,39.0,7.0,31.0,13.14
12000.0,27.0,50.0,53.0,67.68
10500.0,58.0,20.0,46.0,30.15
850.0,24.0,20.0,24.0,19.33
9400.0,35.0,45.0,45.0,83.83
11650.0,40.0,30.0,30.0,41.69
700.0,20.0,20.0,30.0,9.58
16617.0,101.0,8.0,57.0,30.1
8850.0,45.0,33.0,35.0,70.24
7500.0,50.0,18.0,28.0,23.11
4500.0,55.0,30.0,25.0,21.12
3650.0,60.0,15.0,15.0,24.16
175.0,18.0,14.0,22.0,15.1
250.0,16.0,12.0,14.0,10.96
300.0,16.0,16.0,16.0,22.01
1500.0,20.0,65.0,20.0,22.01
1700.0,30.0,23.0,11.0,17.6
233.0,22.0,17.0,15.0,8.35
1183.0,38.0,18.0,26.0,17.8
800.0,50.0,5.0,50.0,19.32
200.0,16.0,5.0,11.0,13.85
300.0,16.0,2.0,11.0,1.39
257.0,44.0,12.0,24.0,16.64
200.0,18.0,21.0,12.0,12.79
1300.0,32.0,16.0,22.0,15.31
350.0,25.0,15.0,25.0,8.72
100.0,27.0,13.0,17.0,38.0
1544.0,47.0,15.0,40.0,18.74
400.0,20.0,7.0,17.0,16.25
750.0,20.0,8.0,13.0,18.06
5450.0,16.0,65.0,25.0,32.08
150.0,16.0,9.0,11.0,18.23
150.0,16.0,9.0,11.0,18.23
1025.0,32.0,14.0,12.0,13.74
